id,pdf_name,pdf_path,page,question,gt_answer,pred_answer,is_correct,raw_output,n_text_docs,n_image_docs,n_images_used
A6V12681514_p1_q0001,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_manuals\A6V12681514.pdf,1,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: When wiring an SSE161.05U or SSF161.05U actuator for modulating control, which terminal is used to receive the DC 0–10 V positioning signal?
A. G
B. G0
C. Y
D. SP
Answer:",C,C,1,C,3,3,3
A6V12681514_p1_q0002,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_manuals\A6V12681514.pdf,1,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: While working on one of these actuators, you notice the status LED alternating between green and red every half-second. What does this indicate?
A. Calibration in progress
B. Error condition
C. Standard running indication
D. Manual operation mode
Answer:",D,D,1,D,3,3,3
A6V12681514_p1_q0003,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_manuals\A6V12681514.pdf,1,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: When installing one of these actuators onto a third-party valve body, what threaded connection must the valve provide to ensure proper mounting with the coupling nut?
A. M25 × 1.0
B. M28 × 1.0
C. M30 × 1.5
D. M32 × 1.5
Answer:",C,C,1,C,3,3,3
A6V14140218_p1_q0004,A6V14140218.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_manuals\A6V14140218.pdf,1,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: While connecting an SL2-Series strobe or horn-strobe, you notice the device supports multiple candela settings. Which group of candela levels can be selected directly on the appliance?
A. 10cd | 25cd | 50cd | 75cd | 100cd
B. 15cd | 30cd | 75cd | 110cd | 135cd | 185cd
C. 20cd | 40cd | 60cd | 80cd | 100cd
D. 10cd | 30cd | 60cd | 120cd
Answer:",B,B,1,B,3,3,3
A6V14140218_p1_q0005,A6V14140218.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_manuals\A6V14140218.pdf,1,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: When configuring the audible portion of an SL2 horn or horn-strobe, which set of temporal patterns can the device provide?
A. Continuous only
B. Code 4 only
C. Continuous, Code 3, and T3/T4 selectable
D. Only manufacturer-proprietary sync patterns
Answer:",C,C,1,C,3,3,3
A6V14140218_p1_q0006,A6V14140218.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_manuals\A6V14140218.pdf,1,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: When measuring current draw on a 24-V system with an SL2 horn-strobe operating at high dB output and 135 cd, what should a technician expect in terms of current demand?
A. Around 0.146 A
B. Around 0.020 A
C. Less than 0.010 A
D. More than 0.300 A
Answer:",A,A,1,A,3,3,3
A6V14140220_p1_q0007,A6V14140220.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_manuals\A6V14140220.pdf,1,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: When setting up an SL2CHC chime appliance, which operating modes can the technician choose for the audible signal?
A. Only continuous tone
B. 1 Hz, 2 Hz, coded, or temporal Code-3
C. Only temporal Code-3
D. Only Siemens-synchronized tones
Answer:",B,B,1,B,3,3,3
A6V14140220_p1_q0008,A6V14140220.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_manuals\A6V14140220.pdf,1,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: A technician needs to set the candela output on an SL2CHSC chime-strobe. Which group of candela levels is available on the device?
A. 10cd | 20cd | 40cd | 80cd | 160cd
B. 15cd | 30cd | 75cd | 110cd | 150cd | 177cd
C. 20cd | 40cd | 60cd | 80cd | 100cd
D. 50cd | 100cd | 150cd | 200cd
Answer:",B,B,1,B,3,3,3
A6V14140220_p1_q0009,A6V14140220.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_manuals\A6V14140220.pdf,1,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: When powering an SL2CHSC chime-strobe at 24V and configuring it for 150cd output, what current draw should the technician expect?
A. Less than 0.010 A
B. About 0.030 A
C.  Greater than 0.250 A
D.About 0.125 A
Answer:",D,D,1,D,3,3,3
A6V15441859_p1_q0010,A6V15441859.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_manuals\A6V15441859.pdf,1,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: A technician is selecting a QMX6 variant for a room where both humidity and CO₂ must be monitored internally. Which model meets this requirement?
A. QMX6.P30
B. QMX6.P40
C. QMX6.P70
D. QMX6.P34
Answer:",C,C,1,C,3,3,3
