id,pdf_name,pdf_path,page,question,gt_answer,pred_answer,is_correct,raw_output,n_text_docs,n_image_docs,n_images_used
A6V12681514_p2_q0001,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_test\pdfs\A6V12681514.pdf,2,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: For the SSE131.09U actuator using a 3-position control signal, what happens when voltage is applied to terminal Y1?
A. The actuator stem extends; the normally open valve closes
B. The actuator stem retracts; the normally open valve opens
C. The actuator maintains its current position
D. The actuator performs a self-calibration cycle
Answer:",B,B,1,B,3,3,3
A6V12681514_p2_q0002,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_test\pdfs\A6V12681514.pdf,2,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: During self-calibration of the SSE161.05U or SSF161.05U actuator, which condition causes calibration failure?
A. Valve stroke greater than 0.25 inch (6.5 mm)
B. Valve stroke less than 0.05 inch (1.2 mm)
C. Operating voltage higher than 24 V
D. Y1 and Y2 signals applied simultaneously
Answer:",B,B,1,B,3,3,3
A6V12681514_p2_q0003,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_test\pdfs\A6V12681514.pdf,2,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: What is the operating voltage of the SSE161.05U actuator?
A. AC 120 V
B. AC/DC 24 V
C. DC 48 V
D. AC 12 V
Answer:",B,B,1,B,3,3,3
A6V12681514_p2_q0004,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_test\pdfs\A6V12681514.pdf,2,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: For the SSE131.09U actuator, what control type is used?
A. PWM
B. 3-position (floating)
C. Binary ON/OFF
D. Modbus RTU
Answer:",B,C,0,C,3,3,3
A6V12681514_p2_q0005,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_test\pdfs\A6V12681514.pdf,2,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: At DC 0 V on an SSE161.05U actuator, what is the stem position for a normally closed valve?
A. Fully open
B. Oscillating
C. Mid-stroke
D. Fully closed
Answer:",D,D,1,D,3,3,3
A6V12681514_p2_q0006,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_test\pdfs\A6V12681514.pdf,2,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: What does a constant red LED (LED2) indicate on the actuator?
A. Error
B. Calibration
C. Manual override active
D. Stem fully extended
Answer:",A,A,1,A,3,3,3
A6V12681514_p2_q0007,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_test\pdfs\A6V12681514.pdf,2,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: How many SSE161.05U actuators can be operated in parallel if the controller output is sufficient?
A. 3
B. 5
C. 10
D. 20
Answer:",C,C,1,C,3,3,3
A6V12681514_p2_q0008,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_test\pdfs\A6V12681514.pdf,2,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: During self-calibration, what sequence does the actuator follow?
A. Mid-stroke → fully extended → retracted
B. Fully extended → retracted → mid-stroke
C. Fully retracted → fully extended → setpoint
D. Randomized movement to detect stroke
Answer:",C,C,1,C,3,3,3
A6V12681514_p2_q0009,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_test\pdfs\A6V12681514.pdf,2,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: What happens after three failed calibration attempts on an SSE161.05U?
A. The actuator shuts down completely
B. The stem remains extended and valves stay open
C. The controller restarts the calibration
D. A manual override is automatically triggered
Answer:",B,B,1,B,3,3,3
A6V12681514_p2_q0010,A6V12681514.pdf,C:\Users\rozku\Desktop\Research_Internship\Project\siemens_test\pdfs\A6V12681514.pdf,2,"The following is a question about an industrial device. Give only the letter choice in your answer.

Question: What is required for correct calibration?
A. Valve stroke > 0.05 inch (1.2 mm)
B. Valve stroke < 0.05 inch (1.2 mm)
C. High ambient humidity
D. Manual override engaged
Answer:",A,A,1,A,3,3,3
